chr,bin,cn,counts
1,6,1|4,0
1,6,1|5,0
1,6,1|6,0
1,6,2|0,238
1,6,2|1,3
1,6,2|2,0
1,6,2|3,0
1,6,2|4,0
1,6,2|5,0
1,6,2|6,0
1,6,2|7,0
1,6,2|8,0
1,6,2|9,0
1,6,3|0,85
1,6,3|1,0
1,6,3|10,0
1,6,3|11,0
1,6,3|2,4
1,6,3|3,0
1,6,3|4,0
1,6,3|5,0
1,6,3|6,0
1,6,3|7,0
1,6,3|8,0
1,6,4|0,65
1,6,4|1,1
1,6,4|2,448
1,6,4|3,0
1,6,4|4,0
1,6,4|5,0
1,6,4|6,0
1,6,4|7,0
1,6,4|8,0
1,6,4|9,0
1,6,5|0,22
1,6,5|1,1
1,6,5|2,5
1,6,5|3,0
1,6,5|4,0
1,6,5|5,0
1,6,5|6,0
1,6,5|7,0
1,6,5|8,0
1,6,5|9,0
1,6,6|0,2
1,6,6|1,0
1,6,6|2,1
1,6,6|3,1
1,6,6|4,0
1,6,6|5,0
1,6,6|6,0
1,6,6|7,0
1,6,6|8,0
1,6,6|9,0
1,6,7|0,0
1,6,7|1,0
1,6,7|2,0
1,6,7|3,0
1,6,7|4,0
1,6,7|5,0
1,6,7|6,0
1,6,7|7,0
1,6,8|0,0
1,6,8|1,0
1,6,8|2,0
1,6,8|3,0
1,6,8|4,0
1,6,8|5,0
1,6,8|6,0
1,6,9|0,0
1,6,9|2,0
1,6,9|3,0
1,6,9|4,0
1,6,9|6,0
1,7,0|0,0
1,7,0|1,0
1,7,0|2,0
1,7,0|3,0
1,7,0|4,0
1,7,0|5,0
1,7,0|6,0
1,7,10|0,0
1,7,1|0,1
1,7,1|1,10
1,7,1|2,0
1,7,1|3,0
1,7,1|4,0
1,7,1|5,0
1,7,1|6,0
1,7,2|0,16
1,7,2|1,219
1,7,2|2,6
1,7,2|3,0
1,7,2|4,1
1,7,2|5,0
1,7,2|6,0
1,7,2|7,0
1,7,2|8,0
1,7,2|9,0
1,7,3|0,1
1,7,3|1,73
1,7,3|10,0
1,7,3|11,0
1,7,3|2,13
1,7,3|3,0
1,7,3|4,0
1,7,3|5,0
1,7,3|6,0
1,7,3|7,0
1,7,3|8,0
1,7,4|0,3
1,7,4|1,4
1,7,4|2,518
1,7,4|3,1
1,7,4|4,0
1,7,4|5,0
1,7,4|6,0
1,7,4|7,0
1,7,4|8,0
1,7,4|9,0
1,7,5|0,0
1,7,5|1,2
1,7,5|2,18
1,7,5|3,2
1,7,5|4,0
1,7,5|5,0
1,7,5|6,0
1,7,5|7,0
1,7,5|8,0
1,7,5|9,0
1,7,6|0,0
1,7,6|1,0
1,7,6|2,0
1,7,6|3,2
1,7,6|4,0
1,7,6|5,0
1,7,6|6,0
1,7,6|7,0
1,7,6|8,0
1,7,6|9,0
1,7,7|0,0
1,7,7|1,0
1,7,7|2,0
1,7,7|3,0
1,7,7|4,0
1,7,7|5,0
1,7,7|6,0
1,7,7|7,0
1,7,8|0,0
1,7,8|1,0
1,7,8|2,0
1,7,8|3,0
1,7,8|4,0
1,7,8|5,0
1,7,8|6,0
1,7,9|0,0
1,7,9|2,0
1,7,9|3,0
1,7,9|4,0
1,7,9|6,0
1,8,0|0,0
1,8,0|1,0
1,8,0|2,0
1,8,0|3,0
1,8,0|4,0
1,8,0|5,0
1,8,0|6,0
1,8,10|0,0
1,8,1|0,0
1,8,1|1,10
1,8,1|2,1
1,8,1|3,0
1,8,1|4,0
1,8,1|5,0
1,8,1|6,0
1,8,2|0,18
1,8,2|1,291
1,8,2|2,220
1,8,2|3,1
1,8,2|4,0
1,8,2|5,0
1,8,2|6,0
1,8,2|7,0
1,8,2|8,0
1,8,2|9,0
1,8,3|0,2
1,8,3|1,28
1,8,3|10,0
1,8,3|11,0
1,8,3|2,15
1,8,3|3,0
1,8,3|4,0
1,8,3|5,0
1,8,3|6,0
1,8,3|7,0
1,8,3|8,0
1,8,4|0,1
1,8,4|1,8
1,8,4|2,287
1,8,4|3,1
1,8,4|4,0
1,8,4|5,0
1,8,4|6,0
1,8,4|7,0
1,8,4|8,0
1,8,4|9,0
1,8,5|0,0
1,8,5|1,1
1,8,5|2,3
1,8,5|3,0
1,8,5|4,0
1,8,5|5,0
1,8,5|6,0
1,8,5|7,0
1,8,5|8,0
1,8,5|9,0
1,8,6|0,0
1,8,6|1,0
1,8,6|2,3
1,8,6|3,0
1,8,6|4,0
1,8,6|5,0
1,8,6|6,0
1,8,6|7,0
1,8,6|8,0
1,8,6|9,0
1,8,7|0,0
1,8,7|1,0
1,8,7|2,0
1,8,7|3,0
1,8,7|4,0
1,8,7|5,0
1,8,7|6,0
1,8,7|7,0
1,8,8|0,0
1,8,8|1,0
1,8,8|2,0
1,8,8|3,0
1,8,8|4,0
1,8,8|5,0
1,8,8|6,0
1,8,9|0,0
1,8,9|2,0
1,8,9|3,0
1,8,9|4,0
1,8,9|6,0
1,9,0|0,0
1,9,0|1,0
1,9,0|2,0
1,9,0|3,0
1,9,0|4,0
1,9,0|5,0
1,9,0|6,0
1,9,10|0,0
1,9,1|0,0
1,9,1|1,9
1,9,1|2,1
1,9,1|3,0
1,9,1|4,0
1,9,1|5,0
1,9,1|6,0
1,9,2|0,15
1,9,2|1,324
1,9,2|2,218
1,9,2|3,1
1,9,2|4,0
1,9,2|5,0
1,9,2|6,0
1,9,2|7,0
1,9,2|8,0
1,9,2|9,0
1,9,3|0,1
1,9,3|1,15
1,9,3|10,0
1,9,3|11,0
1,9,3|2,17
1,9,3|3,1
1,9,3|4,0
1,9,3|5,0
1,9,3|6,0
1,9,3|7,0
1,9,3|8,0
1,9,4|0,1
1,9,4|1,0
1,9,4|2,281
1,9,4|3,0
1,9,4|4,0
1,9,4|5,0
1,9,4|6,0
1,9,4|7,0
1,9,4|8,0
1,9,4|9,0
1,9,5|0,0
1,9,5|1,0
1,9,5|2,4
1,9,5|3,2
1,9,5|4,0
1,9,5|5,0
1,9,5|6,0
1,9,5|7,0
1,9,5|8,0
1,9,5|9,0
1,9,6|0,0
1,9,6|1,0
1,9,6|2,0
1,9,6|3,0
1,9,6|4,0
1,9,6|5,0
1,9,6|6,0
1,9,6|7,0
1,9,6|8,0
1,9,6|9,0
1,9,7|0,0
1,9,7|1,0
1,9,7|2,0
1,9,7|3,0
1,9,7|4,0
1,9,7|5,0
1,9,7|6,0
1,9,7|7,0
1,9,8|0,0
1,9,8|1,0
1,9,8|2,0
1,9,8|3,0
1,9,8|4,0
1,9,8|5,0
1,9,8|6,0
1,9,9|0,0
1,9,9|2,0
1,9,9|3,0
1,9,9|4,0
1,9,9|6,0
1,10,0|0,0
1,10,0|1,0
1,10,0|2,0
1,10,0|3,0
1,10,0|4,0
1,10,0|5,0
1,10,0|6,0
1,10,10|0,0
1,10,1|0,11
1,10,1|1,86
1,10,1|2,1
1,10,1|3,0
1,10,1|4,0
1,10,1|5,0
1,10,1|6,0
1,10,2|0,24
1,10,2|1,299
1,10,2|2,215
1,10,2|3,0
1,10,2|4,0
1,10,2|5,0
1,10,2|6,0
1,10,2|7,0
1,10,2|8,0
1,10,2|9,0
1,10,3|0,0
1,10,3|1,13
1,10,3|10,0
1,10,3|11,0
1,10,3|2,2
1,10,3|3,0
1,10,3|4,0
1,10,3|5,0
1,10,3|6,0
1,10,3|7,0
1,10,3|8,0
1,10,4|0,0
1,10,4|1,21
1,10,4|2,218
1,10,4|3,0
1,10,4|4,0
1,10,4|5,0
1,10,4|6,0
1,10,4|7,0
1,10,4|8,0
1,10,4|9,0
1,10,5|0,0
1,10,5|1,0
1,10,5|2,0
1,10,5|3,0
1,10,5|4,0
1,10,5|5,0
1,10,5|6,0
1,10,5|7,0
1,10,5|8,0
1,10,5|9,0
1,10,6|0,0
1,10,6|1,0
1,10,6|2,0
1,10,6|3,0
1,10,6|4,0
1,10,6|5,0
1,10,6|6,0
1,10,6|7,0
1,10,6|8,0
1,10,6|9,0
1,10,7|0,0
1,10,7|1,0
1,10,7|2,0
1,10,7|3,0
1,10,7|4,0
1,10,7|5,0
1,10,7|6,0
1,10,7|7,0
1,10,8|0,0
1,10,8|1,0
1,10,8|2,0
1,10,8|3,0
1,10,8|4,0
1,10,8|5,0
1,10,8|6,0
1,10,9|0,0
1,10,9|2,0
1,10,9|3,0
1,10,9|4,0
1,10,9|6,0
1,11,0|0,0
1,11,0|1,0
1,11,0|2,0
1,11,0|3,0
1,11,0|4,0
1,11,0|5,0
1,11,0|6,0
1,11,10|0,0
1,11,1|0,0
1,11,1|1,13
1,11,1|2,1
1,11,1|3,0
1,11,1|4,0
1,11,1|5,0
1,11,1|6,0
1,11,2|0,13
1,11,2|1,339
1,11,2|2,220
1,11,2|3,2
1,11,2|4,0
1,11,2|5,0
1,11,2|6,0
1,11,2|7,0
1,11,2|8,0
1,11,2|9,0
1,11,3|0,1
1,11,3|1,20
1,11,3|10,0
1,11,3|11,0
1,11,3|2,40
1,11,3|3,0
1,11,3|4,0
1,11,3|5,0
1,11,3|6,0
1,11,3|7,0
1,11,3|8,0
1,11,4|0,0
1,11,4|1,2
1,11,4|2,236
1,11,4|3,0
1,11,4|4,0
1,11,4|5,0
1,11,4|6,0
1,11,4|7,0
1,11,4|8,0
1,11,4|9,0
1,11,5|0,0
1,11,5|1,0
1,11,5|2,3
1,11,5|3,0
1,11,5|4,0
1,11,5|5,0
1,11,5|6,0
1,11,5|7,0
1,11,5|8,0
1,11,5|9,0
1,11,6|0,0
1,11,6|1,0
1,11,6|2,0
1,11,6|3,0
1,11,6|4,0
1,11,6|5,0
1,11,6|6,0
1,11,6|7,0
1,11,6|8,0
1,11,6|9,0
1,11,7|0,0
1,11,7|1,0
1,11,7|2,0
1,11,7|3,0
1,11,7|4,0
1,11,7|5,0
1,11,7|6,0
1,11,7|7,0
1,11,8|0,0
1,11,8|1,0
1,11,8|2,0
1,11,8|3,0
1,11,8|4,0
1,11,8|5,0
1,11,8|6,0
1,11,9|0,0
1,11,9|2,0
1,11,9|3,0
1,11,9|4,0
1,11,9|6,0
1,12,0|0,0
1,12,0|1,0
1,12,0|2,0
1,12,0|3,0
1,12,0|4,0
1,12,0|5,0
1,12,0|6,0
1,12,10|0,0
1,12,1|0,0
1,12,1|1,13
1,12,1|2,1
1,12,1|3,0
1,12,1|4,0
1,12,1|5,0
1,12,1|6,0
1,12,2|0,10
1,12,2|1,344
1,12,2|2,218
1,12,2|3,1
1,12,2|4,1
1,12,2|5,0
1,12,2|6,0
1,12,2|7,0
1,12,2|8,0
1,12,2|9,0
1,12,3|0,2
1,12,3|1,15
1,12,3|10,0
1,12,3|11,0
1,12,3|2,38
1,12,3|3,0
1,12,3|4,0
1,12,3|5,0
1,12,3|6,0
1,12,3|7,0
1,12,3|8,0
1,12,4|0,0
1,12,4|1,1
1,12,4|2,244
1,12,4|3,0
1,12,4|4,0
1,12,4|5,0
1,12,4|6,0
1,12,4|7,0
1,12,4|8,0
1,12,4|9,0
1,12,5|0,0
1,12,5|1,0
1,12,5|2,2
1,12,5|3,0
1,12,5|4,0
1,12,5|5,0
1,12,5|6,0
1,12,5|7,0
1,12,5|8,0
1,12,5|9,0
1,12,6|0,0
1,12,6|1,0
1,12,6|2,0
1,12,6|3,0
1,12,6|4,0
1,12,6|5,0
1,12,6|6,0
1,12,6|7,0
1,12,6|8,0
1,12,6|9,0
1,12,7|0,0
1,12,7|1,0
1,12,7|2,0
1,12,7|3,0
1,12,7|4,0
1,12,7|5,0
1,12,7|6,0
1,12,7|7,0
1,12,8|0,0
1,12,8|1,0
1,12,8|2,0
1,12,8|3,0
1,12,8|4,0
1,12,8|5,0
1,12,8|6,0
1,12,9|0,0
1,12,9|2,0
1,12,9|3,0
1,12,9|4,0
1,12,9|6,0
1,13,0|0,0
1,13,0|1,0
1,13,0|2,0
